Region.hospital,Facility,Dist.to.reg.hosp,tier,Longitude,Latitude ,region,district,xpert,unitID
Komfo Anokye Teaching Hospital,Antoakrom Health Centre,0.153236,4,-1.66935,6.55865,Ashanti,Amansie West,no,32
Komfo Anokye Teaching Hospital,Konongo - Odumasi Government Hospital,0.419989,4,-1.21792,6.62436,Ashanti,Asante Akim Central,yes,33
Komfo Anokye Teaching Hospital,Presby Hospital - Agogo,0.551775,5,-1.08529,6.79618,Ashanti,Asante Akim North,yes,34
Komfo Anokye Teaching Hospital,Juaso District Hospital,0.521442,4,-1.12104,6.59221,Ashanti,Asante Akim South,no,35
Komfo Anokye Teaching Hospital,Mampong Government Hospital,0.402178,4,-1.40706,7.04158,Ashanti,Mampong,yes,36
Komfo Anokye Teaching Hospital,Asokore Mampong Health Centre,0.0756355,4,-1.55598,6.72334,Ashanti,Asokore Mampong,no,37
Komfo Anokye Teaching Hospital,Kumasi South Hospital,0.0697951,4,-1.58646,6.65195,Ashanti,Asokwa,yes,38
Komfo Anokye Teaching Hospital,Ahenema Kokoben Health Centre,0.0828574,4,-1.64987,6.62631,Ashanti,Atwima Kwanwoma,no,39
Goaso Municipal Hospital,Nyinahin Government Hospital,0.460106,4,-2.10999,6.60115,Ashanti,Atwima Mponua,yes,40
Komfo Anokye Teaching Hospital,Nkawie-Toase Government Hospital,0.186169,4,-1.81112,6.66465,Ashanti,Atwima Nwabiagya South,yes,41
Komfo Anokye Teaching Hospital,Abuakwa Government Polyclinic,0.0855914,4,-1.71517,6.70112,Ashanti,Atwima Nwabiagya North,no,42
Komfo Anokye Teaching Hospital,Bekwai Municipal Hospital,0.262798,4,-1.57605,6.44944,Ashanti,Bekwai,yes,43
Komfo Anokye Teaching Hospital,Dominase SDA Hospital,0.183912,5,-1.65523,6.52455,Ashanti,Bekwai,no,44
Komfo Anokye Teaching Hospital,Kokofu General Hospital,0.232756,5,-1.52443,6.49913,Ashanti,Bekwai,no,45
Komfo Anokye Teaching Hospital,Asiwa Health Centre,0.409205,4,-1.33448,6.42339,Ashanti,Bosome Freho,no,46
Komfo Anokye Teaching Hospital,Kuntanase Government Hospital,0.22959,4,-1.47454,6.53752,Ashanti,Bosomtwe,no,47
Komfo Anokye Teaching Hospital,St. Michael's Catholic Hospital Pramso,0.188817,5,-1.51247,6.55872,Ashanti,Bosomtwe,yes,48
Komfo Anokye Teaching Hospital,Ejisu Government Hospital,0.160101,4,-1.4703,6.721,Ashanti,Ejisu,no,49
Techiman Holy Family Hospital,Ejura Government Hospital,0.435517,4,-1.35197,7.38906,Ashanti,Ejura-Sekyedumase,no,50
Techiman Holy Family Hospital,Sekyedumase Government Polyclinic,0.320835,5,-1.57912,7.31352,Ashanti,Ejura-Sekyedumase,no,51
Komfo Anokye Teaching Hospital,Juaben Government Hospital,0.24195,4,-1.41392,6.81602,Ashanti,Juaben,yes,52
Komfo Anokye Teaching Hospital,Manhyia Government Hospital,0.0149531,4,-1.61483,6.70581,Ashanti,Kumasi Metropolitan,yes,53
Komfo Anokye Teaching Hospital,Suntreso Government Hospital,0.0163052,5,-1.64096,6.69484,Ashanti,Kumasi Metropolitan,no,54
Komfo Anokye Teaching Hospital,Komfo Anokye Teaching Hospital,0,3,-1.62976,6.70669,ASHANTI,Kumasi Metropolitan,yes,55
Komfo Anokye Teaching Hospital,Kumasi County Hospital,0.0345906,5,-1.65806,6.72658,ASHANTI,Kumasi Metropolitan,yes,56
Komfo Anokye Teaching Hospital,Asonomaso Government Hospital,0.0794926,4,-1.55877,6.74246,Ashanti,Kwabre East,no,57
Komfo Anokye Teaching Hospital,Kwadaso SDA Hospital,0.0296406,5,-1.65855,6.69964,Ashanti,Kwadaso,no,58
Komfo Anokye Teaching Hospital,HopeXchange Medical Centre,0.0322554,6,-1.65597,6.72549,ASHANTI,KWADASO,yes,59
Komfo Anokye Teaching Hospital,Obuasi Government Hospital,0.50671,4,-1.685,6.203,Ashanti,Obuasi,yes,60
Komfo Anokye Teaching Hospital,AGA Health Foundation Hospital,0.089368,5,-1.55354,6.66003,ASHANTI,OBUASI EAST,yes,61
Komfo Anokye Teaching Hospital,Bryant Mission Hospital,0.515945,5,-1.646,6.191,Ashanti,Obuasi East,no,62
Komfo Anokye Teaching Hospital,St. Patrick's Catholic Hospital,0.246362,5,-1.66608,6.95036,Ashanti,Offinso,yes,63
Techiman Holy Family Hospital,Nkenkaasu Government Hospital,0.319999,4,-1.90309,7.3195,Ashanti,Offinso North,yes,64
Komfo Anokye Teaching Hospital,KNUST Hospital,0.0596837,5,-1.57366,6.68632,ASHANTI,OFORIKROM,yes,65
Komfo Anokye Teaching Hospital,Oforikrom (Kumasi) Clinic,0.0401856,4,-1.59325,6.6899,Ashanti,Oforikrom,no,66
Komfo Anokye Teaching Hospital,Tafo Government Hospital,0.0366479,4,-1.60797,6.73615,Ashanti,Old Tafo,no,67
Komfo Anokye Teaching Hospital,Trinity Hospital,0.0443802,5,-1.60945,6.74615,ASHANTI,OLD TAFO,yes,68
Komfo Anokye Teaching Hospital,Dawia Health Centre,0.826057,4,-0.91802,7.12597,Ashanti,Sekyere Afram Plains North,no,69
Komfo Anokye Teaching Hospital,Kwamang Health Centre,0.453252,4,-1.26961,6.98188,Ashanti,Sekyere Central,no,70
Komfo Anokye Teaching Hospital,Effiduase Government Hospital,0.274926,5,-1.39359,6.84743,Ashanti,Sekyere East,no,71
Komfo Anokye Teaching Hospital,Kumawu Government Polyclinic,0.41346,4,-1.26814,6.90714,Ashanti,Sekyere Kumawu,no,72
Komfo Anokye Teaching Hospital,Agona  Government Hospital,0.26471,5,-1.4975,6.93599,Ashanti,Sekyere South,no,73
Komfo Anokye Teaching Hospital,Asamang SDA Hospital,0.277547,5,-1.43308,6.90252,ASHANTI,SEKYERE SOUTH,yes,74
Komfo Anokye Teaching Hospital,BREMANG SDA HOSPITAL,0.0421807,5,-1.64373,6.74649,Ashanti,Suame,no,75
Brong Ahafo Regional Hospital,Banda  Ahenkro Health Centre,0.820144,4,-2.3575,8.1636,Bono,Banda,no,76
Brong Ahafo Regional Hospital,Holy Family (Berekum) Hospital,0.290059,4,-2.58649,7.44455,Bono,Berekum East,yes,77
Brong Ahafo Regional Hospital,St. Alban's Health Center,0.389196,6,-2.67945,7.47901,Bono,Berekum West,no,78
Brong Ahafo Regional Hospital,Dormaa Akwamu Health Centre,0.423636,7,-2.73693,7.31691,Bono,Dormaa East,no,79
Brong Ahafo Regional Hospital,Dormaa East District Hospital,0.387136,4,-2.69938,7.30573,Bono,Dormaa East,no,80
Brong Ahafo Regional Hospital,Dormaa Presby Hosp,0.558532,4,-2.86854,7.2763,Bono,Dormaa Municipal,yes,81
Goaso Municipal Hospital,Dormaa West District Hospital,0.60334,4,-3.0862,7.01987,Bono,Dormaa West,no,82
Brong Ahafo Regional Hospital,Sampa Government Hospital,0.720396,4,-2.69371,7.95693,Bono,Jaman North,yes,83
Brong Ahafo Regional Hospital,Suma Presby Health Centre,0.707005,6,-2.72633,7.91906,Bono,Jaman North,no,84
Brong Ahafo Regional Hospital,Drobo St Mary Hospital,0.529512,4,-2.78549,7.58599,Bono,Jaman South,yes,85
Brong Ahafo Regional Hospital,Brong Ahafo Regional Hospital,0,3,-2.3142,7.3446,Bono,Sunyani Municipal,yes,86
Brong Ahafo Regional Hospital,Sunyani Municipal Hosp,0.0187615,4,-2.3319,7.33839,Bono,Sunyani Municipal,no,87
Brong Ahafo Regional Hospital,Chiraa Government Hospital,0.144174,6,-2.18268,7.40367,Bono,Sunyani West,no,88
Brong Ahafo Regional Hospital,Fiapre Health Center,0.0372978,6,-2.3467,7.3629,Bono,Sunyani West,no,89
Brong Ahafo Regional Hospital,Kwatire Government Hospital,0.0429501,4,-2.30017,7.38519,Bono,Sunyani West,no,90
Brong Ahafo Regional Hospital,Nsoatre Health Center,0.158671,6,-2.46324,7.39904,Bono,Sunyani West,no,91
Brong Ahafo Regional Hospital,Seikwa Health Center,0.434481,6,-2.51792,7.72836,Bono,Tain,no,92
Brong Ahafo Regional Hospital,Tain District Hospital,0.220204,4,-2.18906,7.52579,Bono,Tain,yes,93
Techiman Holy Family Hospital,Methodist Hospital - Wenchi,0.400142,4,-2.11095,7.73486,Bono,Wenchi,yes,94
Techiman Holy Family Hospital,Wenchi Health Centre,0.403011,6,-2.11174,7.74077,Bono,Wenchi,no,95
Techiman Holy Family Hospital,Akokoa Health Center,0.585613,6,-1.15122,7.59166,Bono East,Atebubu Amantin,no,96
Techiman Holy Family Hospital,Amanten Health Center,0.531695,6,-1.20795,7.53828,Bono East,Atebubu Amantin,no,97
Techiman Holy Family Hospital,Atebubu Hospital,0.77037,4,-0.9819,7.74638,Bono East,Atebubu Amantin,yes,98
Techiman Holy Family Hospital,Kintampo Municipal Hospital,0.458815,5,-1.73351,8.05172,Bono East,Kintampo North,yes,99
Techiman Holy Family Hospital,Seth Owusu Agyei Medical Lab   KHRC,0.460448,5,-1.7332,8.05335,BONO EAST,KINTAMPO NORTH,yes,100
Techiman Holy Family Hospital,Amoma Health Center,0.233452,7,-1.87116,7.78385,Bono East,Kintampo South,no,101
Techiman Holy Family Hospital,Anyima Health Center,0.32999,6,-1.87408,7.89301,Bono East,Kintampo South,no,102
Techiman Holy Family Hospital,Kintampo South District Hospital,0.299785,4,-1.7731,7.8905,Bono East,Kintampo South,no,103
Techiman Holy Family Hospital,Busunya Polyclinic,0.121112,4,-1.65773,7.68463,Bono East,Nkoranza North,no,104
Techiman Holy Family Hospital,Dromankese Health Centre,0.210559,6,-1.56124,7.70912,Bono East,Nkoranza North,no,105
Techiman Holy Family Hospital,Yefri Health Centre,0.0990303,6,-1.74787,7.69133,Bono East,Nkoranza North,no,106
Techiman Holy Family Hospital,Africa Libera Health Centre,0.0462549,6,-1.69835,7.56725,Bono East,Nkoranza South,no,107
Techiman Holy Family Hospital,Bonsu Health Centre (Nkoranza South),0.0701183,6,-1.79185,7.54945,Bono East,Nkoranza South,no,108
Techiman Holy Family Hospital,Donkro Nkwanta Health Centre,0.175844,6,-1.65995,7.43477,Bono East,Nkoranza South,no,109
Techiman Holy Family Hospital,Nkoranza Health Centre,0.0356559,6,-1.71117,7.56816,Bono East,Nkoranza South,no,110
Techiman Holy Family Hospital,Nkwabeng Health Centre,0.0933357,6,-1.7381,7.49959,Bono East,Nkoranza South,no,111
Techiman Holy Family Hospital,St Theresa Hospital-Nkoranza,0.0385364,4,-1.70495,7.57127,Bono East,Nkoranza South,yes,112
Dambai Health Certre,Mathias Hospital Yeji,0.315253,4,-0.065508,8.22828,Bono East,Pru East,yes,113
Techiman Holy Family Hospital,Our Lady of Fatima Health Care,0.664044,6,-1.18246,7.95847,Bono East,Pru West,no,114
Techiman Holy Family Hospital,Prang Health Centre,0.939004,4,-0.883055,7.98381,Bono East,Pru West,no,115
Dambai Health Certre,Bassa Health Centre,0.645927,6,-0.409457,7.78987,Bono East,Sene East,no,116
Dambai Health Certre,Kajaji Health Centre,0.481929,6,-0.220275,7.78052,Bono East,Sene East,no,117
Dambai Health Certre,Kojokrom (Sene) Health Centre,0.441917,7,-0.170769,7.77886,Bono East,Sene East,no,118
Dambai Health Certre,Sene District Hospital,0.925103,4,-0.68588,7.73115,Bono East,Sene West,yes,119
Techiman Holy Family Hospital,Abrefi Women and Children Hospital,0.244194,5,-1.95803,7.48947,Bono East,Techiman Municipal,yes,120
Techiman Holy Family Hospital,Ahmadiyyah (Techiman) Mission Hospital,0.197293,5,-1.9337,7.57997,Bono East,Techiman Municipal,no,121
Brong Ahafo Regional Hospital,Nsuta Health Centre,0.302528,6,-2.07366,7.52808,Bono East,Techiman Municipal,no,122
Techiman Holy Family Hospital,Oforikrom (Techiman) Health Centre,0.127323,6,-1.86415,7.594,Bono East,Techiman Municipal,no,123
Techiman Holy Family Hospital,Opoku Agyeman Hospital,0.202228,5,-1.93684,7.56306,Bono East,Techiman Municipal,no,124
Techiman Holy Family Hospital,Tanoso (Techiman) Health Centre,0.26216,6,-1.96771,7.46872,Bono East,Techiman Municipal,no,125
Techiman Holy Family Hospital,Techiman Holy Family Hospital,0,3,-1.73683,7.59292,Bono East,Techiman Municipal,yes,126
Brong Ahafo Regional Hospital,Aworowa Health Centre,0.310975,7,-2.00436,7.37114,Bono East,Techiman North,no,127
Techiman Holy Family Hospital,Buoyem Health Centre,0.235962,7,-1.96116,7.66609,Bono East,Techiman North,no,128
Techiman Holy Family Hospital,Krobo Memorial Health Centre,0.255708,6,-1.57397,7.39578,Bono East,Techiman North,no,129
Techiman Holy Family Hospital,Offuman Health Centre,0.286676,4,-1.54426,7.38055,Bono East,Techiman North,no,130
Techiman Holy Family Hospital,Tuobodom Health Centre,0.198303,7,-1.58113,7.47011,Bono East,Techiman North,no,131
Cape Coast Teaching Hospital,Abakrampa Health Centre,0.127921,6,-1.23774,5.25438,Central,Abura-Asebu-Kwamankese,no,132
Cape Coast Teaching Hospital,Abura Dunkwa District Hospital,0.236818,4,-1.17105,5.3452,Central,Abura-Asebu-Kwamankese,yes,133
Cape Coast Teaching Hospital,Asuansi Rural Clinic,0.174757,7,-1.25553,5.30526,Central,Abura-Asebu-Kwamankese,no,134
Cape Coast Teaching Hospital,Moree Health Centre,0.0736795,6,-1.19931,5.1365,Central,Abura-Asebu-Kwamankese,no,135
Ridge Regional Hospital,Asafo Health Centre,0.463726,6,-0.66243,5.55225,Central,Agona East,no,136
Ridge Regional Hospital,Kwanyako Health Centre,0.439563,6,-0.63747,5.59034,Central,Agona East,no,137
Ridge Regional Hospital,Mankrong Health Centre,0.435802,6,-0.6206,5.6718,Central,Agona East,no,138
Ridge Regional Hospital,Mensakrom Health Centre,0.526765,6,-0.7239,5.60415,Central,Agona East,no,139
Ridge Regional Hospital,Nsaba Health Centre,0.564199,6,-0.75575,5.65239,Central,Agona East,no,140
Cape Coast Teaching Hospital,Abodom Health Centre,0.603203,6,-0.82106,5.53108,Central,Agona West,no,141
Ridge Regional Hospital,Ahamadiyya Hospital,0.501309,5,-0.69956,5.53852,Central,Agona West,no,142
Ridge Regional Hospital,Armah CHPS,0.594388,7,-0.79154,5.60654,Central,Agona West,no,143
Cape Coast Teaching Hospital,Bobikuma Health Centre,0.596818,6,-0.850976,5.55355,Central,Agona West,no,144
Ridge Regional Hospital,Nana Khadija CHPS,0.508186,7,-0.70634,5.53637,Central,Agona West,no,145
Ridge Regional Hospital,Nkum Health Centre,0.6385,6,-0.833333,5.63333,Central,Agona West,no,146
Ridge Regional Hospital,Nyakrom Health Centre,0.599755,6,-0.79676,5.60867,Central,Agona West,no,147
Ridge Regional Hospital,Swedru Government Hospital,0.49452,4,-0.6926,5.53532,Central,Agona West,yes,148
Wiawso Govt Hospital,Pokukrom Health Centre,0.706904,4,-1.81282,6.01807,Central,Ahafo Ano South East,no,149
Cape Coast Teaching Hospital,Abaasa Health Centre,0.405643,6,-0.944405,5.36947,Central,Ajumako-Enyan-Essiam,no,150
Cape Coast Teaching Hospital,Ajumako District Hospital,0.431608,4,-0.9551,5.4235,Central,Ajumako-Enyan-Essiam,yes,151
Cape Coast Teaching Hospital,Baa Salvation Army Clinic,0.483001,6,-0.9337,5.4753,Central,Ajumako-Enyan-Essiam,no,152
Cape Coast Teaching Hospital,Bisease Polyclinic,0.438,5,-0.9888,5.4648,Central,Ajumako-Enyan-Essiam,no,153
Cape Coast Teaching Hospital,Nkwantanum Health Centre,0.408138,6,-0.97646,5.41199,Central,Ajumako-Enyan-Essiam,no,154
Cape Coast Teaching Hospital,Sonkwaa Polyclinic,0.317969,5,-1.0504,5.3586,Central,Ajumako-Enyan-Essiam,no,155
Cape Coast Teaching Hospital,Anhwiam CHPS,0.530104,7,-1.14176,5.64501,Central,Asikuma-Odoben-Brakwa,no,156
Cape Coast Teaching Hospital,Brakwa Health Centre,0.636646,6,-0.9902,5.70184,Central,Asikuma-Odoben-Brakwa,no,157
Cape Coast Teaching Hospital,Jamra CHPS,0.563548,7,-1.01667,5.63333,Central,Asikuma-Odoben-Brakwa,no,158
Cape Coast Teaching Hospital,Jamra Polyclinic,0.563544,5,-1.01667,5.63333,Central,Asikuma-Odoben-Brakwa,no,159
Cape Coast Teaching Hospital,Kuntanase CHPS,0.601965,7,-0.91667,5.61667,Central,Asikuma-Odoben-Brakwa,no,160
Cape Coast Teaching Hospital,Odoben Health Centre,0.63535,6,-0.883333,5.63333,Central,Asikuma-Odoben-Brakwa,no,161
Cape Coast Teaching Hospital,Our Lady Of Grace Hospital,0.522785,4,-0.99987,5.57724,Central,Asikuma-Odoben-Brakwa,yes,162
Cape Coast Teaching Hospital,Assin Awisem Health Centre,0.78595,7,-1.54909,5.86715,Central,Assin Central,no,163
Cape Coast Teaching Hospital,Assin Foso Health Centre,0.565621,6,-1.2738,5.69698,Central,Assin Central,no,164
Cape Coast Teaching Hospital,St Francis Xavier Hospital,0.568304,4,-1.28136,5.6996,Central,Assin Central,yes,165
Cape Coast Teaching Hospital,Assin Akonfudi Polyclinic,0.695635,4,-1.31,5.826,Central,Assin North,no,166
Cape Coast Teaching Hospital,Assin Bereku Health Centre,0.737984,6,-1.33988,5.86629,Central,Assin North,no,167
Cape Coast Teaching Hospital,Assin Kushea Health Centre,0.766152,6,-1.45457,5.87564,Central,Assin North,no,168
Cape Coast Teaching Hospital,Assin Praso Presby Hospital,0.800744,6,-1.36201,5.92712,Central,Assin North,no,169
Cape Coast Teaching Hospital,Bediadua Health Centre,0.681033,6,-1.49687,5.77448,Central,Assin North,no,170
Cape Coast Teaching Hospital,Anyinabrim Health Centre,0.481188,6,-1.21239,5.60874,Central,Assin South,no,171
Cape Coast Teaching Hospital,Jakai Health Centre,0.28177,6,-1.20075,5.40376,Central,Assin South,no,172
Cape Coast Teaching Hospital,Manso Health Centre,0.406459,4,-1.16765,5.52398,Central,Assin South,no,173
Cape Coast Teaching Hospital,Nsuta Presby Clinic,0.498381,7,-1.23277,5.62813,Central,Assin South,no,174
Cape Coast Teaching Hospital,Nyankumasi Ahenkro Health Centre,0.280706,6,-1.14919,5.38338,Central,Assin South,no,175
Cape Coast Teaching Hospital,Ongwa Health Centre,0.514178,6,-1.3981,5.63004,Central,Assin South,no,176
Ridge Regional Hospital,Awutu Health Centre,0.319495,6,-0.51446,5.51276,Central,Awutu Senya West,no,177
Ridge Regional Hospital,Bawjiase Polyclinic,0.373775,4,-0.55191,5.68477,Central,Awutu Senya West,yes,178
Ridge Regional Hospital,Bontrase Health Centre,0.363455,6,-0.55935,5.60812,Central,Awutu Senya West,no,179
Ridge Regional Hospital,Senya Health Centre,0.344437,6,-0.49736,5.39041,Central,Awutu Senya West,no,180
Ridge Regional Hospital,Kasoa Polyclinic,0.229446,4,-0.42649,5.53377,Central,Awutu Senya East,yes,181
Ridge Regional Hospital,Mother and Child Hospital,0.232004,5,-0.42903,5.53346,Central,Awutu Senya East,no,182
Cape Coast Teaching Hospital,Adisadel Urban Health Centre,0.0126148,6,-1.26892,5.11936,Central,Cape Coast Metropolitan,no,183
Cape Coast Teaching Hospital,Cape Coast Metropolitan Hospital,0.00905972,4,-1.27488,5.12254,Central,Cape Coast Metropolitan,no,184
Cape Coast Teaching Hospital,Cape Coast Teaching Hospital,0,3,-1.27281,5.13136,Central,Cape Coast Metropolitan,yes,185
Cape Coast Teaching Hospital,C-Poly Clinic,0.00673594,7,-1.26833,5.13639,Central,Cape Coast Metropolitan,no,186
Cape Coast Teaching Hospital,Essuakyir CHPS,0.0230026,7,-1.27857,5.15363,Central,Cape Coast Metropolitan,no,187
Cape Coast Teaching Hospital,Ewim Polyclinic,0.0330751,5,-1.24687,5.11084,Central,Cape Coast Metropolitan,yes,188
Cape Coast Teaching Hospital,University Hospital,0.00937595,5,-1.27122,5.12212,Central,Cape Coast Metropolitan,no,189
Ridge Regional Hospital,Ansaful CHPS,0.482166,7,-0.64828,5.38765,Central,Effutu Municipal,no,190
Ridge Regional Hospital,Gyangyanadze CHPS,0.412606,7,-0.57662,5.39634,Central,Effutu Municipal,no,191
Ridge Regional Hospital,Trauma & Specialist Hospital,0.482151,5,-0.64171,5.37163,Central,Effutu Municipal,no,192
Ridge Regional Hospital,Winneba Health Centre,0.468273,4,-0.62415,5.36631,Central,Effutu Municipal,no,193
Ridge Regional Hospital,Winneba Municipal Hospital,0.477245,4,-0.623084,5.34365,Central,Effutu Municipal,yes,194
Cape Coast Teaching Hospital,Essuehyia Health Centre,0.405738,6,-0.90658,5.306,Central,Ekumfi,no,195
Cape Coast Teaching Hospital,Otuam Health Centre,0.470166,6,-0.81092,5.21919,Central,Ekumfi,no,196
Ridge Regional Hospital,Abasa CHPS,0.485398,7,-0.67491,5.46763,Central,Gomoa Central,no,197
Ridge Regional Hospital,Aboso CHPS,0.134372,7,-0.073597,5.61094,Central,Gomoa Central,no,198
Ridge Regional Hospital,Dahom CHPS,0.553302,7,-0.7463,5.4822,Central,Gomoa Central,no,199
Ridge Regional Hospital,Ekwamkrom CHPS,0.498391,7,-0.69449,5.51027,Central,Gomoa Central,no,200
Ridge Regional Hospital,Obuasi Health Centre,0.55887,4,-0.75465,5.50406,Central,Gomoa Central,no,201
Ridge Regional Hospital,Dasum CHPS,0.383957,7,-0.58258,5.57415,Central,Gomoa East,no,202
Ridge Regional Hospital,Nyanyano Health Centre,0.237695,6,-0.41805,5.47035,Central,Gomoa East,no,203
Ridge Regional Hospital,Ojobi  Health Centre,0.342596,6,-0.53145,5.48019,Central,Gomoa East,no,204
Ridge Regional Hospital,St Gregory Catholic Hospital,0.278849,5,-0.475,5.52376,Central,Gomoa East,no,205
Cape Coast Teaching Hospital,Brofo Health Centre,0.475537,6,-0.85706,5.3622,Central,Gomoa West,no,206
Cape Coast Teaching Hospital,Dago Health Centre,0.488401,6,-0.79708,5.24189,Central,Gomoa West,no,207
Cape Coast Teaching Hospital,Dawurampong Polyclinic,0.572619,5,-0.7873,5.43496,Central,Gomoa West,no,208
Cape Coast Teaching Hospital,Oguaa Health Centre,0.541516,6,-0.81467,5.42006,Central,Gomoa West,no,209
Cape Coast Teaching Hospital,Osedzie Health Centre,0.576509,6,-0.78996,5.44635,Central,Gomoa West,no,210
Cape Coast Teaching Hospital,St Luke Catholic Hospital Apam,0.553713,4,-0.73949,5.28025,Central,Gomoa West,yes,211
Cape Coast Teaching Hospital,Agona Health Centre - Komenda,0.167918,6,-1.43033,5.18953,Central,Komenda-Edina-Eguafo-Abirem,no,212
Cape Coast Teaching Hospital,Ankaful Gen Leprosy Hospital,0.0487375,5,-1.31792,5.14981,Central,Komenda-Edina-Eguafo-Abirem,no,213
Cape Coast Teaching Hospital,Brenu Akyinim CHPS,0.17779,7,-1.43745,5.06426,Central,Komenda-Edina-Eguafo-Abirem,no,214
Cape Coast Teaching Hospital,Elmina Polyclinic,0.17779,4,-1.43745,5.06426,Central,Komenda-Edina-Eguafo-Abirem,no,215
Cape Coast Teaching Hospital,Kissi Health Centre,0.237261,6,-1.50598,5.08749,Central,Komenda-Edina-Eguafo-Abirem,no,216
Cape Coast Teaching Hospital,Komenda Health Centre,0.233794,6,-1.49301,5.0528,Central,Komenda-Edina-Eguafo-Abirem,no,217
Cape Coast Teaching Hospital,Abandze Health Centre,0.196653,6,-1.0875,5.1972,Central,Mfantseman,no,218
Cape Coast Teaching Hospital,Anomabo Health Centre,0.151464,6,-1.12844,5.17717,Central,Mfantseman,no,219
Cape Coast Teaching Hospital,Biriwa Health Centre,0.130785,6,-1.14719,5.16775,Central,Mfantseman,no,220
Cape Coast Teaching Hospital,Biriwa Polyclinic,0.15955,5,-1.11619,5.1618,Central,Mfantseman,no,221
Cape Coast Teaching Hospital,Dominase Health Centre,0.283265,6,-1.0943,5.3513,Central,Mfantseman,no,222
Cape Coast Teaching Hospital,Mankessim Health Centre,0.288575,6,-1.01841,5.26758,Central,Mfantseman,no,223
