Region.hospital,Facility,Dist.to.reg.hosp,tier,Longitude,Latitude ,region,district,xpert,unitID
Goaso Municipal Hospital,Aboabo Presby Health Centre,0.501105,7,-2.81057,7.20647,Bono,Dormaa Municipal,no,0
Cape Coast Teaching Hospital,Abodom Health Centre,0.59926,6,-0.82106,5.53108,Central,Agona West,no,0
Ridge Hospital,Abokobi Health Centre,0.172743,6,-0.2031,5.73487,Greater Accra,Ga East,no,0
REGIONAL HOSPITA KOFORIDUA,Abomosu Health Centre,0.518494,4,-0.73393,6.30049,Eastern,Atiwa West,no,0
Cape Coast Teaching Hospital,Abonko CHPS,0.553669,7,-0.76783,5.39103,Central,Gomoa West,no,0
Ridge Hospital,Aboso CHPS,0.134372,7,-0.073597,5.61094,Central,Krowor,no,0
Effia Nkwanta Regional Hospital,Aboso Health Centre,0.481021,6,-1.93333,5.36667,Western,Prestea-Huni Valley,no,0
REGIONAL HOSPITA KOFORIDUA,Abourso CHPS,0.423671,7,-0.270569,6.5201,Eastern,Fanteakwa North,no,0
Cape Coast Teaching Hospital,Abrekum CHPS,0.566122,7,-0.71422,5.31082,Central,Gomoa West,no,0
Komfo Anokye Teaching Hospital,Abuakwa Government Polyclinic,0.0866965,4,-1.71579,6.70141,Ashanti,Atwima Nwabiagya North,no,0
Goaso Municipal Hospital,Abuom Health Center,0.26457,7,-2.70631,6.61944,Ahafo,Asunafo South,no,0
Cape Coast Teaching Hospital,Abura Dunkwa District Hospital,0.251504,4,-1.17105,5.3452,Central,Abura-Asebu-Kwamankese,yes,0
Ho Teaching Hospital,Abutia Agorve Health Centre,0.153796,6,0.3649,6.50576,Volta,Ho West,no,0
Ho Teaching Hospital,Abutia Kloe Health Centre,0.217104,6,0.34735,6.43417,Volta,Ho West,no,0
Ridge Hospital,Accra Police Hospital,0.0187498,5,-0.18107,5.56825,Greater Accra,La-Dade-Kotopon,no,0
Goaso Municipal Hospital,Acherensua Health Centre,0.28114,6,-2.2971,6.97987,Ahafo,Asutifi South,no,0
REGIONAL HOSPITA KOFORIDUA,Achiansa CHPS,0.306171,7,-0.55545,6.02749,Eastern,Ayensuano,no,0
Sunyani Regional Hospital,Achiase CHPS,0.276125,7,-2.3338,7.06964,Central,Asutifi North,no,0
Cape Coast Teaching Hospital,Achiase Health Centre,0.77916,4,-1.00068,5.84479,Eastern,Achiase,no,0
Sefwi Wiawso Hospital,Achimfo Health Centre,0.492805,6,-2.72285,5.78431,Western North,Aowin,no,0
Ridge Hospital,Achimota Hospital,0.069425,4,-0.217153,5.62914,Greater Accra,Okai Koi North,yes,0
Ho Teaching Hospital,Ada  East District Hospital,0.718788,4,0.56916,5.88872,Greater Accra,Ada East,yes,0
Ho Teaching Hospital,Ada Health Centre,0.830013,6,0.62713,5.78484,Greater Accra,Ada East,no,0
Goaso Municipal Hospital,Adabokrom CHPS,0.505829,7,-3.02036,6.81816,Western North,Bia East,no,0
Bolgatanga Regional Hospital,Adaboya CHPS,0.172097,7,-0.7167,10.9,Upper East,Bongo,no,0
Ridge Hospital,Adabraka Polyclinic,0.00520004,4,-0.20401,5.5622,Greater Accra,Korle-Klottey,no,0
Cape Coast Teaching Hospital,Adade Kofi CHPS,0.826689,7,-1.66377,5.81409,Central,Twifo-Ati-Mokwa,no,0
Holy Family Hospital,Adadiem Health Centre,0.771623,6,-2.55168,8.08,Bono,Jaman North,no,0
Effia Nkwanta Regional Hospital,Adansi Community Clinic,0.20848,7,-1.75319,5.13255,Western,Mpohor,no,0
REGIONAL HOSPITA KOFORIDUA,Adasawase CHPS,0.399196,7,-0.51667,6.4,Eastern,Atiwa East,no,0
Komfo Anokye Teaching Hospital,Adausena Health Centre,0.70451,6,-1.07509,6.26265,Eastern,Birim North,no,0
REGIONAL HOSPITA KOFORIDUA,Adawso Health Centre,0.155511,6,-0.21067,5.94825,Eastern,Akwapim North,no,0
REGIONAL HOSPITA KOFORIDUA,Addo Nkwanta CHPS,0.181505,7,-0.169,5.938,Eastern,Akwapim North,no,0
Ridge Hospital,Adeiso Health Centre,0.376396,6,-0.49067,5.79986,Eastern,Upper West Akim,no,0
Ridge Hospital,Adenta-Amanfrom Health Centre,0.200618,6,-0.14232,5.75468,Greater Accra,Adentan,no,0
Sefwi Wiawso Hospital,Adesu CHPS,0.584517,7,-2.07408,5.80048,Western,Wassa Amenfi East,no,0
Ho Teaching Hospital,Adidome District Hospital,0.530456,4,0.49812,6.07222,Volta,Central Tongu,no,0
Cape Coast Teaching Hospital,Adiembra CHPS,0.574219,7,-1.33381,5.67032,Western,Assin South,no,0
Cape Coast Teaching Hospital,Adisadel Urban Health Centre,0.0310443,6,-1.26784,5.11936,Central,Cape Coast,no,0
Sefwi Wiawso Hospital,Adjakaa Manso Health Centre,0.270496,6,-2.28547,6.03356,Western,Wassa Amenfi Central,no,0
REGIONAL HOSPITA KOFORIDUA,Adjena Health Centre,0.366016,6,0.054042,6.28926,Eastern,Asuogyaman,no,0
REGIONAL HOSPITA KOFORIDUA,Adjikpo CHPS,0.237265,7,-0.0208616,6.1177,Eastern,Yilo-Krobo,no,0
Ridge Hospital,Adjiringano Health Centre,0.106358,6,-0.13352,5.64614,Greater Accra,Adentan,no,0
REGIONAL HOSPITA KOFORIDUA,Adoagyiri Health Centre,0.293276,6,-0.354161,5.81986,Eastern,Nsawam-Adoagyiri,no,0
REGIONAL HOSPITA KOFORIDUA,Aduasa CHPS,0.816832,7,-1.05,5.9,Eastern,Birim South,no,0
REGIONAL HOSPITA KOFORIDUA,Adukrom Health Centre,0.19721,4,-0.07731,6.0158,Eastern,Okere,no,0
Effia Nkwanta Regional Hospital,Adum Banso Community Clinic,0.206078,7,-1.90057,5.05886,Western,Mpohor,no,0
Ho Teaching Hospital,Adutor Health Centre,0.674483,6,0.69649,5.96221,Volta,South Tongu,no,0
Ridge Hospital,Adzentem CHPS,0.513847,7,-0.707791,5.49163,Central,Gomoa East,no,0
Ridge Hospital,Afienya CHPS,0.316048,7,0.0061,5.8028,Greater Accra,Ningo Prampram,no,0
Komfo Anokye Teaching Hospital,Afosu Health Centre,0.696264,6,-1.01667,6.36667,Eastern,Birim North,no,0
Holy Family Hospital,Afrancho Polyclinic,0.196205,4,-1.97074,7.4138,Ashanti,Afigya Kwabre South,no,0
Sefwi Wiawso Hospital,Afransie Health Centre,0.470477,6,-2.12501,5.9133,Western,Wassa Amenfi East,no,0
Komfo Anokye Teaching Hospital,AGA Health Foundation Hospital,0.0845235,5,-1.55354,6.66003,Ashanti,Obuasi,no,0
REGIONAL HOSPITA KOFORIDUA,Agbom East CHPS,0.245314,7,-0.016544,6.14427,Eastern,Lower Manya-Krobo,no,0
Komfo Anokye Teaching Hospital,Agogo (Asante Akim North) Presby Hospital,0.552711,5,-1.08529,6.79618,Ashanti,Asante Akim North,yes,0
REGIONAL HOSPITA KOFORIDUA,Agomeda Health Centre,0.291329,6,0.00994,5.98039,Greater Accra,Shai-Osudoku,no,0
Komfo Anokye Teaching Hospital,Agona  Government Hospital,0.272187,5,-1.4975,6.93599,Ashanti,Sekyere South,yes,0
Sefwi Wiawso Hospital,Agona (Wassa Amenfi Central) Health Centre,0.312728,6,-2.32082,5.94995,Western,Wassa Amenfi Central,no,0
Cape Coast Teaching Hospital,Agona Health Centre,0.207837,6,-1.43033,5.18953,Central,Komenda-Edna-Eguafo-Abirem,no,0
Cape Coast Teaching Hospital,Agona Health Centre,0.207837,6,-1.43033,5.18953,Central,Komenda-Edna-Eguafo-Abirem,no,0
REGIONAL HOSPITA KOFORIDUA,Agormanya Health Centre,0.27901,6,0.01667,6.15,Eastern,Lower Manya-Krobo,no,0
REGIONAL HOSPITA KOFORIDUA,Agortor CHPS,0.509544,7,0.23083,5.95011,Greater Accra,Shai-Osudoku,no,0
Bolgatanga Regional Hospital,Aguusi CHPS,0.0711129,7,-0.91916,10.8497,Upper East,Bolgatanga Municipal,no,0
Goaso Municipal Hospital,Agyemandiem CHPS,0.358051,7,-2.79545,6.57964,Western North,Juaboso,no,0
Komfo Anokye Teaching Hospital,Ahenema Kokoben Health Centre,0.074398,4,-1.64987,6.62631,Ashanti,Atwima Kwanwoma,no,0
Sefwi Wiawso Hospital,Ahibenso Health Centre,0.337884,6,-2.80676,6.11235,Western North,Bodi,no,0
Effia Nkwanta Regional Hospital,Ahmadiyya Mission Hospital,0.223425,4,-1.65779,5.13015,Western,Wassa East,no,0
Goaso Municipal Hospital,Ahmadiyya Muslim Hospital,0.113792,5,-2.56717,6.90299,Ahafo,Asunafo North,no,0
Komfo Anokye Teaching Hospital,Ahmadiyya Muslim Hospital -  Bekwai,0.225538,5,-1.52254,6.49903,Ashanti,Bekwai,no,0
Holy Family Hospital,Ahmadiyyah (Techiman) Mission Hospital,0.0237641,5,-1.9317,7.58611,Bono East,Techiman Municipal,no,0
REGIONAL HOSPITA KOFORIDUA,Ahomahomaso CHPS,0.422371,7,-0.36817,6.50417,Eastern,Fanteakwa North,no,0
Cape Coast Teaching Hospital,Ahomakormbua CHPS,0.39363,7,-1.0599,5.4531,Central,Ajumako-Enyan-Essiam,no,0
Ho Teaching Hospital,Ahunda Health Centre,0.309518,4,0.55,6.3,Volta,Adaklu,no,0
Effia Nkwanta Regional Hospital,Airforce Clinic,0.0415968,7,-1.77289,4.89382,Western,Sekondi-Takoradi,no,0
Effia Nkwanta Regional Hospital,Aiyinase Health Centre,0.73029,6,-2.46504,5.04337,Western,Ellembelle,no,0
Cape Coast Teaching Hospital,Ajumako District Hospital,0.429056,4,-0.9551,5.4235,Central,Ajumako-Enyan-Essiam,yes,0
REGIONAL HOSPITA KOFORIDUA,Akakom CHPS,0.486387,7,-0.7113,6.27087,Eastern,Atiwa West,no,0
REGIONAL HOSPITA KOFORIDUA,Akanteng Health Centre,0.446473,6,-0.696012,6.01434,Eastern,West Akim,no,0
REGIONAL HOSPITA KOFORIDUA,Akateng Health Centre,0.432865,6,-0.15349,6.5169,Eastern,Upper Manya-Krobo,no,0
Ho Teaching Hospital,Akatsi District Hospital,0.566188,4,0.80906,6.1386,Volta,Akatsi South,yes,0
Cape Coast Teaching Hospital,Akenkensu CHPS,0.658754,7,-1.1681,5.75834,Eastern,Achiase,no,0
REGIONAL HOSPITA KOFORIDUA,Aketebour CHPS,0.215547,7,-0.115957,6.25947,Eastern,Upper Manya-Krobo,no,0
REGIONAL HOSPITA KOFORIDUA,Akim Wenchi Salvation Army Health Centre,0.688518,6,-0.93333,5.96667,Eastern,Denkyembour,no,0
REGIONAL HOSPITA KOFORIDUA,Akoase CHPS,0.739674,7,-0.897811,6.4664,Eastern,Birim North,no,0
Holy Family Hospital,Akokoa Health Center,0.790355,6,-1.15122,7.59166,Bono East,Atebubu-Amanten,no,0
Komfo Anokye Teaching Hospital,Akokoaso Health Centre,0.332138,6,-1.33583,6.85355,Eastern,Sekyere East,no,0
Komfo Anokye Teaching Hospital,Akomaah Memorial Hospital,0.273615,5,-1.53837,6.43966,Ashanti,Bekwai,no,0
Sefwi Wiawso Hospital,Akontombra Health Center,0.415405,4,-2.86617,6.05048,Western North,Sefwi-Akontombra,no,0
Sefwi Wiawso Hospital,Akontombra Nkwanta Health Centre,0.515268,6,-2.94091,5.97559,Western North,Aowin,no,0
REGIONAL HOSPITA KOFORIDUA,Akorabo Health Centre,0.135577,6,-0.36667,6.01667,Eastern,Suhum,no,0
REGIONAL HOSPITA KOFORIDUA,Akosombo VRA Hospital,0.356702,4,0.0582,6.26327,Eastern,Asuogyaman,no,0
REGIONAL HOSPITA KOFORIDUA,Akote CHPS,0.205229,7,-0.458046,6.0545,Eastern,Suhum,no,0
Cape Coast Teaching Hospital,Akoti Health Centre,0.66981,6,-1.24095,5.77345,Central,Assin Foso,no,0
Ho Teaching Hospital,Akpafu Adorkor Health Centre,0.680122,6,0.5281,7.28122,Oti,Hohoe,no,0
Ho Teaching Hospital,Akpafu Mempeasem Health Centre,0.647543,6,0.48248,7.25004,Oti,Hohoe,no,0
REGIONAL HOSPITA KOFORIDUA,Akpamu CHPS,0.0899135,7,-0.23333,6.18333,Eastern,Yilo-Krobo,no,0
Ridge Hospital,Akramaman CHPS,0.21867,7,-0.3676,5.7012,Greater Accra,Ga West,no,0
Ridge Hospital,Akramang CHPS,0.346699,7,-0.542461,5.51631,Central,Gomoa East,no,0
Goaso Municipal Hospital,Akrodie Health Centre,0.114914,6,-2.5569,6.69505,Ahafo,Asunafo North,no,0
REGIONAL HOSPITA KOFORIDUA,Akrofufu CHPS,0.439792,7,-0.61667,6.35,Eastern,Atiwa East,no,0
Komfo Anokye Teaching Hospital,Akrokerri Health Centre,0.405579,6,-1.63191,6.2922,Ashanti,Adansi North,no,0
REGIONAL HOSPITA KOFORIDUA,Akropong (atiwa) CHPS,0.406181,7,-0.65,6.2,Eastern,Atiwa East,no,0
Cape Coast Teaching Hospital,Akropong -Odumase CHPS,0.720004,7,-1.19229,5.82199,Central,Assin North,no,0
REGIONAL HOSPITA KOFORIDUA,Akropong Health Centre,0.213089,6,-0.0779,5.98148,Eastern,Akwapim North,no,0
Komfo Anokye Teaching Hospital,Akropong Polyclinic,0.109629,6,-1.73073,6.73905,Ashanti,Atwima Nwabiagya North,no,0
REGIONAL HOSPITA KOFORIDUA,Akroso Health Centre,0.603319,4,-0.767927,5.77548,Eastern,Asene Manso Akroso,no,0
REGIONAL HOSPITA KOFORIDUA,Akrusu CHPS,0.354278,7,-0.14056,6.43117,Eastern,Upper Manya-Krobo,no,0
Holy Family Hospital,Akumadan Health Centre,0.202911,6,-1.96072,7.40581,Ashanti,Offinso North,no,0
REGIONAL HOSPITA KOFORIDUA,Akuse Government Hospital,0.132396,5,-0.1248,6.09793,Eastern,Akwapim North,no,0
Cape Coast Teaching Hospital,Akutuase Community Clinic,0.298781,7,-1.48642,5.27415,Western,Wassa East,no,0
REGIONAL HOSPITA KOFORIDUA,Akwadum Health Centre,0.489437,6,-0.73333,5.98333,Eastern,West Akim,no,0
REGIONAL HOSPITA KOFORIDUA,Akwamufie Health Center,0.388339,6,0.08333,6.28333,Eastern,Asuogyaman,no,0
REGIONAL HOSPITA KOFORIDUA,Akwasiho Health Centre,0.750364,6,-0.74327,6.66828,Eastern,Kwahu East,no,0
REGIONAL HOSPITA KOFORIDUA,Akwatia CHPS,0.54481,7,-0.8,6.05,Eastern,Denkyembour,no,0
Effia Nkwanta Regional Hospital,Akyempim Health Centre,0.562391,6,-1.72553,5.48632,Western,Wassa East,no,0
Ridge Hospital,AL- AYAR HOSPITAL ,0.0662348,7,-0.240621,5.61355,Greater Accra,Okai Koi North,no,0
Ridge Hospital,Alajo Clinic,0.0384706,7,-0.213319,5.59781,Greater Accra,Ayawaso Central,no,0
Ho Teaching Hospital,Alavanyo Wudidi Health Centre,0.532669,6,0.35796,7.11993,Volta,Hohoe,no,0
Ridge Hospital,All Care Medical Centre,0.234323,7,-0.01511,5.70765,Greater Accra,Kpone-Katamanso,no,0
Ridge Hospital,Amamorley Health Centre,0.141021,7,-0.297,5.6634,Greater Accra,Ga North,no,0
REGIONAL HOSPITA KOFORIDUA,Amanase Health Centre,0.209439,4,-0.43333,5.98333,Eastern,Ayensuano,no,0
Cape Coast Teaching Hospital,Amanbete CHPS,0.475833,7,-1.15157,5.57098,Central,Assin South,no,0
Cape Coast Teaching Hospital,Amanfopong CHPS,0.673037,7,-1.0124,5.73664,Central,Asikuma-Odoben-Brakwa,no,0
Ridge Hospital,Amanfro Polyclinic,0.214168,4,-0.41143,5.53648,Greater Accra,Ga South,no,0
REGIONAL HOSPITA KOFORIDUA,Amanfrom (west Akim) CHPS,0.470202,7,-0.662967,5.85908,Eastern,West Akim,no,0
Holy Family Hospital,Amanten Health Center,0.736747,6,-1.20795,7.53828,Bono East,Atebubu-Amanten,no,0
Sunyani Regional Hospital,Amasu Health Centre,0.486805,6,-2.78654,7.2272,Bono,Dormaa Municipal,no,0
REGIONAL HOSPITA KOFORIDUA,Ame Zion Health Centre,0.338301,6,-0.485022,6.34672,Eastern,Fanteakwa South,no,0
Komfo Anokye Teaching Hospital,Amoafo CHPS,0.785618,7,-1.64442,5.9123,Central,Upper Denkyira East,no,0
Cape Coast Teaching Hospital,Amoakrom CHPS,0.68972,7,-1.34378,5.78567,Central,Assin North,no,0
Ridge Hospital,Amoanda CHPS,0.380424,7,-0.577088,5.52183,Central,Asikuma-Odoben-Brakwa,no,0
Sefwi Wiawso Hospital,Amoaya Health Centre,0.455234,6,-2.93999,6.23541,Western North,Bodi,no,0
Holy Family Hospital,Amoma Health Center,0.189621,7,-1.87129,7.78398,Bono East,Kintampo South,no,0
Sefwi Wiawso Hospital,Amonie Presby Health Centre,0.592768,6,-2.79703,5.71191,Western North,Aowin,no,0
REGIONAL HOSPITA KOFORIDUA,Amotare CHPS,0.423005,7,-0.270972,6.51942,Eastern,Fanteakwa North,no,0
Goaso Municipal Hospital,Ampenkro Health Centre,0.285998,7,-2.76328,6.94356,Ahafo,Asunafo North,no,0
Ridge Hospital,Amrahia Health Centre,0.211375,6,-0.14172,5.7657,Greater Accra,Adentan,no,0
Komfo Anokye Teaching Hospital,Amuana Praso Health Centre,0.676657,6,-0.9788,6.511,Eastern,Birim North,no,0
Bolgatanga Regional Hospital,Anafobisi Health Centre,0.115529,7,-0.81183,10.9117,Upper East,Bongo,no,0
Effia Nkwanta Regional Hospital,Anaji CHPS,0.0348389,7,-1.77826,4.93297,Western,Effia-Kwesimintsim,no,0
REGIONAL HOSPITA KOFORIDUA,Anamase CHPS,0.683198,7,-0.9051,5.87991,Eastern,Achiase,no,0
Ho Teaching Hospital,Anfoega Catholic Hospital,0.347104,4,0.2763,6.88026,Volta,North Dayi,yes,0
Ho Teaching Hospital,Anfoeta CHPS,0.163484,7,0.38504,6.73228,Volta,Ho West,no,0
Effia Nkwanta Regional Hospital,Angu CHPS,0.129641,7,-1.77399,5.0505,Western,Mpohor,no,0
Cape Coast Teaching Hospital,Anhweinsu CHPS,0.718987,7,-1.42945,5.79751,Central,Assin North,no,0
Sefwi Wiawso Hospital,Anhwiam CHPS,0.0253272,7,-2.50868,6.20659,Central,Sefwi-Wiawso,no,0
Komfo Anokye Teaching Hospital,Anhwiaso (Adansi Asokwa) Health Centre,0.019223,6,-1.64775,6.69284,Ashanti,Adansi Asokwa,no,0
Sefwi Wiawso Hospital,Anhwiaso (bibiani Anhwiaso Bekwai) Health Centre,0.25658,6,-2.25592,6.33124,Western North,Bibiani-Anhwiaso-Bekwai,no,0
Sefwi Wiawso Hospital,Anhwiawia CHPS,0.51749,7,-2.00166,6.03158,Central,Upper Denkyira West,no,0
Baptist Hospital,Aniisi CHPS,0.428399,7,-0.26814,10.9368,Upper East,Binduri,no,0
Komfo Anokye Teaching Hospital,Aninwaah Medical Centre (Emena Hospital),0.101014,6,-1.53295,6.66702,Ashanti,Oforikrom,no,0
Cape Coast Teaching Hospital,Ankaful CHPS,0.220675,7,-1.04322,5.20138,Central,Mfantsiman,no,0
Cape Coast Teaching Hospital,Ankaful Gen Leprosy Hospital,0.0896524,5,-1.31792,5.14981,Central,Komenda-Edna-Eguafo-Abirem,no,0
Cape Coast Teaching Hospital,Ankaful Prisons Communicable Disease Clinic,0.288462,7,-1.33016,5.378,Central,Komenda-Edna-Eguafo-Abirem,no,0
Cape Coast Teaching Hospital,Ankamu CHPS,0.53478,7,-0.76071,5.33868,Central,Gomoa West,no,0
REGIONAL HOSPITA KOFORIDUA,Ankoma CHPS,0.64232,7,-0.58333,6.65,Eastern,Kwahu South,no,0
Effia Nkwanta Regional Hospital,Anlo Beach CHPS,0.19374,7,-1.60016,5.05345,Western,Shama,no,0
Ho Teaching Hospital,Anloga Health Centre,0.903703,4,0.9,5.8,Volta,Anloga,no,0
Cape Coast Teaching Hospital,Anomabo Health Centre,0.134507,6,-1.12844,5.17717,Central,Mfantsiman,no,0
Ridge Hospital,Ansaful CHPS,0.482166,7,-0.64828,5.38765,Central,Efutu,no,0
Ridge Hospital,Anthon Memorial Hospital Annex,0.0336799,5,-0.211195,5.5935,Greater Accra,Ayawaso Central,no,0
REGIONAL HOSPITA KOFORIDUA,Anum Apapam Health Centre,0.340157,6,-0.58333,6,Eastern,Ayensuano,no,0
REGIONAL HOSPITA KOFORIDUA,Anum Boso Salvation Army Clinic,0.340542,7,-0.58566,6.00677,Eastern,Ayensuano,no,0
