,"	Regional Hospital ",Facility_Name,"	Distance to Reg Hosp ",Maina...Facility.name,Fac.NAME,Admin1,Facility.name,Facility.type,Ownership,LL.source,Lat,Long,FacLong,FacLat,Source,geometry...longitude,geometry.latitude,UnitId,UnitType,UnitTypeName,TypeMainaOverGhana,FacilitySwitch,MainaSwitch,NewFacilityTypes,UnitTypeNaFac,LvlId,Region,CODE,NAME,COMMENT,CODE_1,NAME_1,NEAR_FID,NEAR_DIST,Facility_Name,Longitude,Latitude,geometry,Region,District,Town,facilityID,Xpert,dummy
2767,Sunyani Regional Hospital,Asunafo South District Hospital,0.67507,,,,,District Hospital,,,,,,,DHIMS-10k,,,,,,,,,District Hospital,,,,,,,,,,,Asunafo South District Hospital,-2.45,6.68333,,AHAFO,ASUNAFO SOUTH,Kukuom,2767,no,0
4161,Sunyani Regional Hospital,Dormaa West District Hospital,0.742214,,,,,District Hospital,,,,,,,DHIMS-10k,,,,,,,,,District Hospital,,,,,,,,,,,Dormaa West District Hospital,-2.96329,6.98465,,BONO,DORMAA WEST,Nkrankwanta,4161,no,0
10792,REGIONAL HOSPITA KOFORIDUA,Kade Government Hospital,0.582513,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Kade Government Hospital,-0.83969,6.10046,,EASTERN,KWAEBIBIREM,Kade,10792,no,0
10797,Ridge Hospital,Ga West Municipal Hospital,0.172344,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Ga West Municipal Hospital,-0.2996,5.7021,,GREATER ACCRA,GA WEST MUNICIPAL,Amasaman,10797,no,0
6056,Volta Regional Hospital,Nkwanta Municipal Hospital,1.66484,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Nkwanta Municipal Hospital,0.51667,8.26667,,OTI,NKWANTA SOUTH MUNICIPAL,Nkwanta,6056,no,0
10790,Central Regional Hospital,Swedru Government Hospital,0.305468,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Swedru Government Hospital,-1,5.28333,,CENTRAL,EKUMFI,Swedru,10790,no,0
10779,Sunyani Regional Hospital,Kintampo South District Hospital,0.768632,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Kintampo South District Hospital,-1.7731,7.8905,,BONO EAST,KINTAMPO SOUTH,Jema,10779,no,0
10816,Sunyani Regional Hospital,Essam Government Hospital,1.03818,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Essam Government Hospital,-3.10494,6.67188,,WESTERN NORTH,BIA WEST,Essam,10816,no,0
4108,Sunyani Regional Hospital,Dormaa East District Hospital,0.38837,,,,,District Hospital,,,,,,,DHIMS-10k,,,,,,,,,District Hospital,,,,,,,,,,,Dormaa East District Hospital,-2.7,7.3,,BONO,DORMAA EAST,Wamfie,4108,no,0
10810,Upper West Regional Hospital,Wa West District Hospital,0.160401,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Wa West District Hospital,-2.63098,9.96559,,UPPER WEST,WA WEST,Wechiau,10810,no,0
10814,Volta Regional Hospital,Ketu South District Hospital,0.848072,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Ketu South District Hospital,1.18017,6.11752,,VOLTA,KETU SOUTH,Aflao,10814,no,0
10805,Tamale Regional Hospital,Kpandai  District Hospital,1.25658,,,,,District Hospital,,,,,,,WHO-TIME,,,,,,,,,District Hospital,,,,,,,,,,,Kpandai  District Hospital,0.00606,8.46327,,NORTHERN,KPANDAI,Kpandai,10805,no,0
50,Bolgatanga Regional Hospital,Baptist Medical Centre District Hospital,0.555123,Baptist Medical Centre District Hospital,BAPTIST MEDICAL CENTER,Northern,Baptist Medical Centre District Hospital,District Hospital,FBO,GPS,10.51973,-0.36573,-0.36573,10.51973,both,c(-0.365730000289039,10.5197299998309),GHH02385,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Regional Hospital,Hospital and Teaching Hospital,GHP006001000000000000,GHP006,2385,BAPTIST MEDICAL CENTER,NA,56,East Mamprusi,-1,-1,Baptist Medical Centre District Hospital,-0.36573,10.51973,c(-0.365730000289039  10.5197299998309),NORTHERN EAST,EAST MAMPRUSI,,2064,no,0
10807,Bolgatanga Regional Hospital,Bawku Presby Hospital,0.673215,Bawku Municipal Hospital,BAWKU HOSPITAL,Upper East,Bawku Municipal Hospital,Municipal Hospital,FBO,GPS,11.06124,-0.23287,-0.23287,11.06124,WHO-TIME,c(-0.23286999981108,11.0612399997864),GHH01179,1,Hospital and Teaching Hospital,Municipal Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP007003000000000000,GHP007,1179,BAWKU HOSPITAL,BAWKU,36,Bawku,-1,-1,Bawku Presby Hospital,-0.23197,11.0607,c(-0.23286999981108  11.0612399997864),UPPER EAST,BAWKU MUNICIPAL,South Natinga,10807,no,0
61,Tamale Regional Hospital,Bimbilla  District Hospital,0.946792,Bimbilla  District Hospital,BIMBILLA HOSPITAL,Northern,Bimbilla  District Hospital,District Hospital,MoH,GPS,8.85756,-5.56E-02,-0.05562,8.85756,both,c(-0.055620000198345,8.85756000005995),GHH02401,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP006007000000000000,GHP006,2401,BIMBILLA HOSPITAL,NA,93,Nanumba North,-1,-1,Bimbilla  District Hospital,-0.05562,8.85756,c(-0.055620000198345  8.85756000005995),NORTHERN,NANUMBA NORTH,Bimbilla,2017,no,0
62,Bolgatanga Regional Hospital,Binde  Rural  Hospital,0.851313,Binde  Rural  Hospital,BINDE HC,Northern,Binde  Rural  Hospital,Hospital,FBO,GPS,10.56562,-2.88E-02,-0.02876,10.56562,both,c(-0.0287600004023092,10.5656199997569),GHH02354,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP006014000000000000,GHP006,2354,BINDE HC,NA,48,Bunkpurugu-Yunyuo,-1,-1,Binde  Rural  Hospital,-0.02876,10.56562,c(-0.0287600004023092  10.5656199997569),NORTHERN EAST,BUNKPURUGU NAKPANDURI,Binde,2069,no,0
67,Bolgatanga Regional Hospital,Bongo District Hospital,0.12928,Bongo District Hospital,BONGO DIST.HOSPITAL,Upper East,Bongo District Hospital,District Hospital,MoH,GPS,10.9145,-0.80727,-0.80727,10.9145,both,c(-0.80726999970637,10.9144999997537),GHH01247,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP007006000000000000,GHP007,1247,BONGO DIST.HOSPITAL,BONGO,45,Bongo,-1,-1,Bongo District Hospital,-0.80727,10.9145,c(-0.80726999970637  10.9144999997537),UPPER EAST,BONGO,Bongo Central,2194,no,0
124,Tamale Regional Hospital,Gushegu  District Hospital,0.812271,Gushegu  District Hospital,GUSHEGU HC,Northern,Gushegu  District Hospital,District Hospital,MoH,GPS,9.92814,-0.21489,-0.21489,9.92814,both,c(-0.214890000210503,9.92813999968411),GHH02392,3,Clinic,District Hospital,Clinic,Hospital,District Hospital,Clinic,GHP006006000000000000,GHP006,2392,GUSHEGU HC,NA,64,Gushegu,-1,-1,Gushegu  District Hospital,-0.21489,9.92814,c(-0.214890000210503  9.92813999968411),NORTHERN,GUSHEGU,Gushiegu,2061,no,0
202,Tamale Regional Hospital,MILITARY HOSPITAL  (6MRS),0.0640112,NA,MILITARY HOSPITAL  (6MRS),NA,NA,NA,NA,NA,NA,NA,-0.8487,9.46148,fac,c(-0.848699999674335,9.46148000029396),GHH01617,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP006009000000000000,GHP006,1617,MILITARY HOSPITAL  (6MRS),NA,120,Tamale,-1,-1,MILITARY HOSPITAL  (6MRS),-0.8487,9.46148,c(-0.848699999674335  9.46148000029396),NORTHERN,SAGNERIGU,,1925,no,0
251,Bolgatanga Regional Hospital,QUALITY MED. CENTER,0.644252,NA,QUALITY MED. CENTER,NA,NA,NA,NA,NA,NA,NA,-0.26105,11.05487,fac,c(-0.261050000255261,11.0548700001142),GHH01187,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP007003000000000000,GHP007,1187,QUALITY MED. CENTER,BAWKU,36,Bawku,-1,-1,QUALITY MED. CENTER,-0.26105,11.05487,c(-0.261050000255261  11.0548700001142),UPPER EAST,BAWKU MUNICIPAL,,2294,no,0
261,Bolgatanga Regional Hospital,RURAL HELP INTEGRATED MEDICAL CENTR,0.00885316,NA,RURAL HELP INTEGRATED MEDICAL CENTR,NA,NA,NA,NA,NA,NA,NA,-0.84118,10.78885,fac,c(-0.841180000310044,10.7888499998634),GHH01227,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP007002000000000000,GHP007,1227,RURAL HELP INTEGRATED MEDICAL CENTR,BOLGATANGA,44,Bolgatanga,-1,-1,RURAL HELP INTEGRATED MEDICAL CENTR,-0.84118,10.78885,c(-0.841180000310044  10.7888499998634),UPPER EAST,BOLGATANGA MUNICIPAL,,2330,no,0
262,Tamale Regional Hospital,Saboba Medical Centre,1.19203,Saboba Medical Centre,SABOBA MEDICAL CENTER,Northern,Saboba Medical Centre,Hospital,FBO,GPS,9.70965,0.31924,0.31924,9.70965,both,c(0.31923999963308,9.70965000007808),GHH02412,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP006003000000000000,GHP006,2412,SABOBA MEDICAL CENTER,NA,104,Saboba-Chereponi,-1,-1,Saboba Medical Centre,0.31924,9.70965,c(0.31923999963308  9.70965000007808),NORTHERN,SABOBA,,1956,no,0
268,Bolgatanga Regional Hospital,Sandema District Hospital,0.442444,Sandema District Hospital,SANDEMA HOSPITAL  RCH CLINIC,Upper East,Sandema District Hospital,District Hospital,MoH,GPS,10.73339,-1.28786,-1.28786,10.73339,both,c(-1.28785999988298,10.733389999728),GHH01273,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP007001000000000000,GHP007,1273  1274,SANDEMA HOSPITAL,SANDEMA,47,Builsa,-1,-1,Sandema District Hospital,-1.28786,10.73339,c(-1.28785999988298  10.733389999728),UPPER EAST,BUILSA NORTH,Sandema West,2219,no,0
272,Tamale Regional Hospital,Savelugu  Hospital,0.218894,Savelugu  Hospital,SAVELUGU  HOSPITAL,Northern,Savelugu  Hospital,Hospital,MoH,Google Earth,9.624722,-0.827778,-0.82929,9.61862,both,c(-0.829289999820766,9.61862000022489),GHH02427,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP006012000000000000,GHP006,2427,SAVELUGU  HOSPITAL,NA,105,Savelugu-Nanton,-1,-1,Savelugu  District Hospital,-0.82929,9.61862,c(-0.829289999820766  9.61862000022489),NORTHERN,SAVELUGU,Savelugu,1998,no,0
322,Tamale Regional Hospital,TANIA SPECIALIST HOSPITAL,0.0513398,NA,TANIA SPECIALIST HOSPITAL,NA,NA,NA,NA,NA,NA,NA,-0.84884,9.44817,fac,c(-0.848840000314746,9.4481700000244),GHH01637,1,Hospital and Teaching Hospital,Hospital and Teaching Hospital,Hospital,NA,Hospital,Hospital and Teaching Hospital,GHP006009000000000000,GHP006,1637,TANIA SPECIALIST HOSPITAL,NA,120,Tamale,-1,-1,TANIA SPECIALIST HOSPITAL,-0.84884,9.44817,c(-0.848840000314746  9.4481700000244),NORTHERN,SAGNERIGU,,1928,no,0
343,Bolgatanga Regional Hospital,Walewale  District Hospital,0.447794,Walewale  District Hospital,WALEWALE HOSPITAL,Northern,Walewale  District Hospital,District Hospital,MoH,GPS,10.34633,-0.80854,-0.80854,10.34633,both,c(-0.808540000125838,10.3463299998393),GHH01670,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP006008000000000000,GHP006,1670,WALEWALE HOSPITAL,NA,135,West Mamprusi,-1,-1,Walewale  District Hospital,-0.80854,10.34633,c(-0.808540000125838  10.3463299998393),NORTHERN EAST,WEST MAMPRUSI MUNICIPAL,Walewale,1946,no,0
344,Bolgatanga Regional Hospital,War Memorial District Hospital,0.252774,War Memorial District Hospital,WAR MEMORIAL HOSPITAL,Upper East,War Memorial District Hospital,District Hospital,MoH,Combination,10.88304,-1.08532,-1.08528,10.88299,both,c(-1.08528000028636,10.8829900000314),GHH01132,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,District Hospital,Hospital and Teaching Hospital,GHP007004000000000000,GHP007,1132,WAR MEMORIAL HOSPITAL,NAVRONGO,75,Kassena-Nankana,-1,-1,War Memorial District Hospital,-1.08528,10.88299,c(-1.08528000028636  10.8829900000314),UPPER EAST,KASENA NANKANA EAST,Navrongo Central,2238,no,0
347,Tamale Regional Hospital,Tamale West District Hospital,0.018514,Tamale West District Hospital,WEST HOSPITAL,Northern,Tamale West District Hospital,District Hospital,MoH,GPS,9.40046,-0.8503,-0.8503,9.40046,both,c(-0.850299999806674,9.40046000003777),GHH01624,1,Hospital and Teaching Hospital,District Hospital,Hospital,Hospital,Hospital,Hospital and Teaching Hospital,GHP006009000000000000,GHP006,1624,WEST HOSPITAL,NA,120,Tamale,-1,-1,Tamale West District Hospital,-0.8503,9.40046,c(-0.850299999806674  9.40046000003777),NORTHERN,TAMALE METROPOLITAN,Tamale Central,1926,no,0
