 row no., facName, population, binInc , 1 , 2 , 3 , 4 , 5 , 6 , 7 , 8 , 9 , 10  
43,Bekwai Municipal Hospital,96983, 20.3, 0.0360629, 0.142922, 0.254359, 0.258376, 0.114408, 0.0887115, 0.0567989, 0.0230801, 0.0179573, 0.0094378
44,Dominase SDA Hospital,14305, 7.6, 0.0271199, 0.107171, 0.141524, 0.155682, 0.156169, 0.16829, 0.0889978, 0.0732729, 0.0455833, 0.0380918
45,Kokofu General Hospital,32040, 19.3, 0.0596901, 0.280998, 0.267617, 0.134801, 0.142198, 0.0473844, 0.0251262, 0.0187377, 0.0124918, 0.0124918
46,Asiwa Health Centre,74445, 34.9, 0.00806445, 0.0601043, 0.174334, 0.174403, 0.201735, 0.145436, 0.0882634, 0.0783349, 0.0507327, 0.0216508
47,Kuntanase Government Hospital,77787, 24, 0.0350251, 0.0887432, 0.0788415, 0.103122, 0.0927092, 0.122188, 0.135308, 0.183245, 0.116125, 0.0464838
48,St. Michael's Catholic Hospital Pramso,25842, 8.6, 0.0210848, 0.0843399, 0.0948814, 0.179221, 0.189764, 0.168676, 0.116295, 0.0542284, 0.0546906, 0.0384514
49,Ejisu Government Hospital,113130, 28.6, 0.0558352, 0.171297, 0.162994, 0.181161, 0.163063, 0.162426, 0.0387866, 0.0328976, 0.0222503, 0.0118759
50,Ejura Government Hospital,83716, 38.8, 0.0365599, 0.106929, 0.176081, 0.205054, 0.199196, 0.142305, 0.0771829, 0.0512922, 0.00271875, 0.00593495
51,Sekyedumase Government Polyclinic,51451, 26.7, 0.0221384, 0.077487, 0.0979757, 0.139114, 0.174793, 0.242204, 0.151774, 0.064514, 0.024798, 0.011272
52,Juaben Government Hospital,8052, 14, 0.0606652, 0.197162, 0.227496, 0.203848, 0.114959, 0.0455019, 0.0303346, 0.0455021, 0.0455018, 0.0303348
53,Manhyia Government Hospital,224410, 1.3, 0, 0.052633, 0.052633, 0.263167, 0.0526321, 0.105268, 0.263166, 0.0526321, 0.0526321, 0.105269
54,Suntreso Government Hospital,278348, 2.4, 0, 0.0848693, 0.212176, 0.16974, 0.0846754, 0.169661, 0.0776066, 0.158876, 0, 0.0424362
55,Komfo Anokye Teaching Hospital,47244, 0.5, 0, 0, 0, 0, 0.250008, 0, 0.250008, 0, 0, 0.500007
56,Kumasi County Hospital,181657, 2.3, 0, 0.165891, 0.253213, 0.470956, 0.0155422, 0.0683511, 0.021255, 0.00142727, 0.00234117, 0.00109328
57,Asonomaso Government Hospital,53163, 3.1, 0.117928, 0.221288, 0.242489, 0.273969, 0.0289285, 0.021696, 0.0289275, 0.0144636, 0.0289267, 0.0216946
58,Kwadaso SDA Hospital,106299, 1.5, 0, 0, 0.444463, 0, 0.222231, 0, 0, 0.222231, 0, 0.111115
59,HopeXchange Medical Centre,47242, 0.6, 0.250009, 0, 0, 0, 0, 0, 0.500023, 0, 0, 0.250014
60,Obuasi Government Hospital,818240, 33.8, 0.0287806, 0.032951, 0.122197, 0.630682, 0.0805255, 0.0560577, 0.0436355, 0.00431194, 0.00164874, 0.000887867
61,AGA Health Foundation Hospital,259612, 6.5, 0.272279, 0.216623, 0.144922, 0.10043, 0.111158, 0.0547787, 0.0523922, 0.0394812, 0.00532978, 0.00269215
62,Bryant Mission Hospital,82155, 21.5, 0.0483861, 0.0413235, 0.0455984, 0.0293919, 0.0265075, 0.0192402, 0.0104136, 0.289153, 0.489898, 0.00354511
63,St. Patrick's Catholic Hospital,17893, 15.8, 0.0629737, 0.168389, 0.090706, 0.0629821, 0.130252, 0.132272, 0.106903, 0.133296, 0.0848195, 0.0305226
64,Nkenkaasu Government Hospital,45899, 28.6, 0.0290528, 0.0872022, 0.137051, 0.209672, 0.179244, 0.137978, 0.0701201, 0.0704743, 0.0620417, 0.0273515
65,KNUST Hospital,200578, 1.6, 0.0588889, 0.176669, 0, 0.294442, 0.05889, 0.176662, 0.117774, 0.0588889, 0, 0.0578267
66,Oforikrom (Kumasi) Clinic,70867, 0.7, 0, 0, 0, 0, 0.666697, 0, 0, 0, 0, 0.333349
67,Tafo Government Hospital,148917, 1.4, 0, 0.15862, 0, 0.375112, 0.0793121, 0.0879794, 0.202971, 0.0883346, 0.00258184, 0.00516353
68,Trinity Hospital,25271, 2.5, 0.348598, 0, 0.358143, 0.12489, 0.0469516, 0.0304282, 0.015214, 0.0304276, 0.0304273, 0.0152134
69,Dawia Health Centre,74643, 42.1, 0.0164939, 0.0482128, 0.0840578, 0.165677, 0.247187, 0.211625, 0.13871, 0.0567652, 0.0348716, 0.0123634
70,Kwamang Health Centre,22320, 29.6, 0.0311026, 0.0948528, 0.114947, 0.128567, 0.116723, 0.132131, 0.139484, 0.131778, 0.0753294, 0.0430436
71,Effiduase Government Hospital,23461, 22.9, 0.0520484, 0.0937261, 0.153854, 0.1571, 0.123719, 0.0943019, 0.0750678, 0.124688, 0.0829285, 0.0449003
72,Kumawu Government Polyclinic,25678, 23.8, 0.0166889, 0.0698665, 0.145173, 0.174884, 0.206427, 0.22009, 0.0898425, 0.0332825, 0.0303368, 0.0209347
73,Agona  Government Hospital,28960, 9, 0.026566, 0.0796979, 0.106263, 0.146115, 0.0932318, 0.0930677, 0.125724, 0.0928908, 0.0531332, 0.184849
74,Asamang SDA Hospital,10159, 9.8, 0, 0.0693527, 0.0750977, 0.0846473, 0.189702, 0.279908, 0.0880203, 0.152565, 0.0151785, 0.0474027
75,BREMANG SDA HOSPITAL,47041, 0.8, 0, 0, 0, 0.459755, 0, 0, 0.440278, 0.0698371, 0, 0.0301988
76,Banda  Ahenkro Health Centre,35356, 39.4, 0.0353807, 0.0892929, 0.124665, 0.160876, 0.178382, 0.169675, 0.113247, 0.0748167, 0.0603828, 0.0191409
77,Holy Family (Berekum) Hospital,48770, 22.4, 0.04569, 0.129454, 0.142734, 0.159876, 0.139584, 0.134874, 0.117243, 0.084977, 0.0312677, 0.0180584
78,St. Alban's Health Center,41657, 18.9, 0.013372, 0.0713166, 0.106974, 0.138172, 0.16475, 0.161215, 0.116009, 0.0813963, 0.0875936, 0.0629861
79,Dormaa Akwamu Health Centre,44988, 44.3, 0.11306, 0.226762, 0.202582, 0.225532, 0.0867733, 0.0452884, 0.0310755, 0.0258975, 0.0258986, 0.022295
80,Dormaa East District Hospital,8248, 20.4, 0.064914, 0.113599, 0.227187, 0.129821, 0.0486827, 0.113732, 0.129891, 0.0649146, 0.0811456, 0.032459
81,Dormaa Presby Hosp,79574, 49.6, 0.0976398, 0.266415, 0.233425, 0.149351, 0.0702464, 0.0497047, 0.0468595, 0.035146, 0.0307538, 0.0248966
82,Dormaa West District Hospital,44338, 47.7, 0.0210251, 0.0723014, 0.113897, 0.167277, 0.162093, 0.166392, 0.139185, 0.0870877, 0.0651378, 0.0105143
83,Sampa Government Hospital,45745, 25.8, 0.0404877, 0.164198, 0.190194, 0.170517, 0.0985265, 0.0879666, 0.082406, 0.0807821, 0.0598347, 0.0269228
84,Suma Presby Health Centre,27290, 19.5, 0.0416097, 0.127673, 0.125882, 0.130369, 0.137365, 0.125331, 0.126679, 0.0888443, 0.0587765, 0.0406609
85,Drobo St Mary Hospital,45902, 22.3, 0.0303346, 0.0606709, 0.11826, 0.17656, 0.171148, 0.108336, 0.140716, 0.120047, 0.0568637, 0.0214469
86,Brong Ahafo Regional Hospital,1691, 2.2, 0, 0, 0, 0.429691, 0, 0, 0.0642534, 0.200296, 0.187443, 0.120684
87,Sunyani Municipal Hosp,24351, 39.1, 0.0656139, 0.188734, 0.298725, 0.219997, 0.072379, 0.0449142, 0.0467822, 0.0381131, 0.017318, 0.0104336
88,Chiraa Government Hospital,43874, 14, 0.0279031, 0.0695263, 0.122086, 0.160901, 0.203756, 0.141868, 0.128951, 0.0750697, 0.0414468, 0.0307082
89,Fiapre Health Center,7825, 19.2, 0.180505, 0.194386, 0.152734, 0.138844, 0.0555282, 0.0555259, 0.0555236, 0.0555213, 0.055519, 0.0618831
90,Kwatire Government Hospital,21588, 22, 0.168629, 0.200712, 0.232849, 0.155894, 0.0940307, 0.0603776, 0.035218, 0.0343699, 0.0110852, 0.0110085
91,Nsoatre Health Center,61818, 48, 0.104437, 0.283866, 0.23817, 0.195387, 0.0637775, 0.0320622, 0.0317528, 0.026928, 0.015094, 0.0136108
92,Seikwa Health Center,46682, 21.4, 0.0083029, 0.0236313, 0.0443602, 0.0681582, 0.135663, 0.208143, 0.23207, 0.21185, 0.0705482, 0.0083055
93,Tain District Hospital,30262, 20.9, 0.0350685, 0.111051, 0.191279, 0.234819, 0.203444, 0.13049, 0.0673811, 0.0227285, 0.00394214, 0.00492768
94,Methodist Hospital - Wenchi,47133, 21, 0.0187541, 0.073126, 0.157923, 0.213686, 0.26203, 0.203535, 0.0548051, 0.0116256, 0.00569128, 0.00316169
95,Wenchi Health Centre,264, 3.1, 0, 0, 0, 0.334819, 0, 0, 0.334811, 0, 0, 0.334805
96,Akokoa Health Center,64368, 37.9, 0.0347794, 0.0873936, 0.136452, 0.192648, 0.180604, 0.168113, 0.10833, 0.0676291, 0.0241334, 0.00845348
97,Amanten Health Center,22447, 20.7, 0.0306906, 0.0852428, 0.147172, 0.146782, 0.160984, 0.166259, 0.117799, 0.0841746, 0.044867, 0.0213103
98,Atebubu Hospital,51394, 38.4, 0.0256795, 0.119465, 0.228881, 0.296973, 0.23377, 0.0753198, 0.0178709, 0.00446817, 0.0025184, 0.00184132
99,Kintampo Municipal Hospital,72235, 51.8, 0.0343347, 0.126865, 0.147534, 0.147901, 0.116552, 0.138573, 0.114051, 0.0913692, 0.0795896, 0.0182724
100,Seth Owusu Agyei Medical Lab   KHRC,643, 28.4, 0.108467, 0.106897, 0.104461, 0.104461, 0.0696407, 0.104461, 0.104461, 0.104461, 0.104461, 0.104461
101,Amoma Health Center,22734, 13.3, 0.00977238, 0.0293172, 0.0635205, 0.0897436, 0.123022, 0.191458, 0.216163, 0.169208, 0.0529601, 0.0605115
102,Anyima Health Center,14221, 17.9, 0.019523, 0.105423, 0.195229, 0.221717, 0.127764, 0.085885, 0.0819779, 0.0858781, 0.0546474, 0.0312262
103,Kintampo South District Hospital,21252, 23.2, 0.0391919, 0.109737, 0.175058, 0.169833, 0.161996, 0.128826, 0.0890195, 0.0731623, 0.044418, 0.0182889
104,Busunya Polyclinic,16145, 18.3, 0.0384895, 0.11162, 0.177052, 0.207844, 0.130858, 0.111611, 0.111536, 0.0678032, 0.0288623, 0.0172681
105,Dromankese Health Centre,58480, 29.6, 0.023376, 0.0786286, 0.0892532, 0.114753, 0.132665, 0.153225, 0.161968, 0.146679, 0.0830859, 0.0201067
106,Yefri Health Centre,12562, 12.5, 0.0197868, 0.0593603, 0.10388, 0.148402, 0.173136, 0.118717, 0.154498, 0.121562, 0.0709963, 0.0325239
107,Africa Libera Health Centre,14345, 13.5, 0.0175277, 0.067847, 0.0911216, 0.121825, 0.176094, 0.198959, 0.191917, 0.0771076, 0.0411306, 0.0216647
108,Bonsu Health Centre (Nkoranza South),30059, 14.7, 0.019868, 0.11808, 0.170255, 0.186796, 0.130008, 0.112191, 0.10057, 0.0779798, 0.0574537, 0.0305335
109,Donkro Nkwanta Health Centre,36481, 16.1, 0.0310249, 0.0760218, 0.147451, 0.219833, 0.175809, 0.0861891, 0.0758475, 0.0689537, 0.0722856, 0.0525463
110,Nkoranza Health Centre,3342, 5.2, 0, 0.112749, 0.0376186, 0.142824, 0.0995672, 0.200716, 0.0376194, 0.150113, 0.186539, 0.0376217
111,Nkwabeng Health Centre,12250, 10.4, 0.0205285, 0.082114, 0.153964, 0.195019, 0.15397, 0.164239, 0.0923883, 0.0718601, 0.030798, 0.0410638
112,St Theresa Hospital-Nkoranza,623, 6, 0.201792, 0, 0.186672, 0, 0.116068, 0.0998198, 0.0997639, 0.0997615, 0.0997596, 0.0997575
113,Mathias Hospital Yeji,23647, 26.1, 0.0666779, 0.250043, 0.241708, 0.147443, 0.14966, 0.0655947, 0.0352715, 0.0120637, 0.0190536, 0.0185248
114,Our Lady of Fatima Health Care,106346, 61.8, 0.046336, 0.138024, 0.229789, 0.207686, 0.153426, 0.0756785, 0.0614758, 0.0553707, 0.0327201, 0.00867426
115,Prang Health Centre,103354, 61.1, 0.0523569, 0.149862, 0.205389, 0.143239, 0.149356, 0.127386, 0.101243, 0.0456784, 0.0258607, 0.00778072
116,Bassa Health Centre,50867, 53.3, 0.0385311, 0.130206, 0.167664, 0.146924, 0.139769, 0.137173, 0.11797, 0.0793433, 0.0538356, 0.0134512
117,Kajaji Health Centre,9270, 49.3, 0.0607572, 0.128317, 0.124132, 0.0588483, 0.0988915, 0.129597, 0.116711, 0.10421, 0.107007, 0.0972888
118,Kojokrom (Sene) Health Centre,15172, 54.1, 0.0621364, 0.0663551, 0.113407, 0.147793, 0.151566, 0.106454, 0.084949, 0.12358, 0.142385, 0.0280909
119,Sene District Hospital,47621, 42.1, 0.0227111, 0.0747569, 0.127293, 0.203581, 0.17217, 0.115176, 0.103825, 0.0841661, 0.076297, 0.0411013
120,Abrefi Women and Children Hospital,30039, 11.8, 0.0297684, 0.0744216, 0.119072, 0.17696, 0.141883, 0.189232, 0.101391, 0.0899599, 0.052046, 0.0278558
121,Ahmadiyyah (Techiman) Mission Hospital,7582, 7.4, 0.0589574, 0.117917, 0.117919, 0.11792, 0.0884422, 0.206361, 0.117923, 0.0589617, 0.0589617, 0.0589617
122,Nsuta Health Centre,46138, 12.5, 0.0193797, 0.0581392, 0.106588, 0.145276, 0.183035, 0.178321, 0.132106, 0.103095, 0.0550169, 0.0216464
123,Oforikrom (Techiman) Health Centre,29493, 11.1, 0.0303124, 0.0757809, 0.128827, 0.174281, 0.15167, 0.115642, 0.117614, 0.0983374, 0.0805342, 0.0293317
124,Opoku Agyeman Hospital,6690, 6.2, 0.0668212, 0.0668225, 0.0334106, 0.100235, 0.100234, 0.167061, 0.167063, 0.100237, 0.13365, 0.0668261
125,Tanoso (Techiman) Health Centre,12242, 10.7, 0.0365244, 0.127837, 0.20089, 0.144447, 0.146102, 0.127841, 0.107743, 0.0781415, 0.019282, 0.0142041
126,Techiman Holy Family Hospital,3352, 6.3, 0, 0.0741704, 0.0556265, 0.150281, 0.174589, 0.136137, 0.134347, 0.111248, 0.111247, 0.0556229
127,Aworowa Health Centre,15200, 13.3, 0.0228831, 0.0495799, 0.0877181, 0.129556, 0.135117, 0.109024, 0.137397, 0.184511, 0.103671, 0.0516453
128,Buoyem Health Centre,42630, 12.2, 0.0209677, 0.062903, 0.120564, 0.131047, 0.146767, 0.171815, 0.141871, 0.122281, 0.057653, 0.0262039
129,Krobo Memorial Health Centre,6732, 14.2, 0.0214101, 0.116016, 0.247573, 0.186812, 0.136822, 0.0423116, 0.0741103, 0.063431, 0.0740004, 0.0422847
130,Offuman Health Centre,9600, 12.7, 0.0225998, 0.0912703, 0.136857, 0.144502, 0.111049, 0.111218, 0.118633, 0.118634, 0.103805, 0.0444902
131,Tuobodom Health Centre,24064, 19.2, 0.0313532, 0.109737, 0.1409, 0.115152, 0.120022, 0.120003, 0.121433, 0.11743, 0.0747567, 0.0546566
132,Abakrampa Health Centre,64411, 17.6, 0.0182737, 0, 0, 0, 0, 0, 0, 0.976796, 0.00310856, 0.00310853
133,Abura Dunkwa District Hospital,72893, 7.9, 0, 0, 0, 0, 0, 0, 0, 0.33417, 0.333498, 0.334443
134,Asuansi Rural Clinic,103411, 32.7, 0.0067302, 0, 0, 0, 0.650964, 0.00774475, 0.324203, 0.00483745, 0.00579175, 0.000959848
135,Moree Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
136,Asafo Health Centre,176701, 20.2, 0.181357, 0, 0.000978382, 0.192184, 0, 0.201024, 0, 0.00105064, 0.213381, 0.21166
137,Kwanyako Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
138,Mankrong Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
139,Mensakrom Health Centre,344, 21.6, 0, 0, 0, 0, 0, 0, 0, 0, 0.502561, 0.502561
140,Nsaba Health Centre,516, 20.5, 0, 0, 0, 0, 0, 0, 0, 0, 0.335041, 0.670075
141,Abodom Health Centre,98736, 26.2, 0, 0.323321, 0.285117, 0.0122563, 0.0157578, 0.311453, 0.0175082, 0.015757, 0.0122552, 0.00875147
142,Ahamadiyya Hospital,172, 9.6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00512
143,Armah CHPS,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
144,Bobikuma Health Centre,34007, 21, 0.951002, 0.00508361, 0.00508352, 0.0101668, 0.00508326, 0, 0.00508317, 0.00508309, 0.005083, 0.0101658
145,Nana Khadija CHPS,29055, 16.4, 0, 0, 0, 0, 0, 0, 0, 0.00595013, 0, 0.996098
146,Nkum Health Centre,38654, 20.5, 0.681813, 0.159433, 0.0178894, 0.0178891, 0.0178887, 0.0223606, 0.0223602, 0.0223598, 0.0178876, 0.0223592
147,Nyakrom Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
148,Swedru Government Hospital,29186, 8.2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00223
149,Pokukrom Health Centre,19244, 18.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00424
150,Abaasa Health Centre,61102, 32.8, 0, 0, 0, 0, 0.892395, 0.0254636, 0.0198046, 0.0282917, 0.0141458, 0.0226332
151,Ajumako District Hospital,42702, 21.1, 0, 0, 0, 0, 0, 0, 0, 0, 0.648377, 0.354434
152,Baa Salvation Army Clinic,26747, 0.1, 1.00259, 0, 0, 0, 0, 0, 0, 0, 0, 0
153,Bisease Polyclinic,860, 27.6, 0, 0, 0, 0, 0, 0, 0, 0.201021, 0.603057, 0.201014
154,Nkwantanum Health Centre,27879, 0.1, 1.00235, 0, 0, 0, 0, 0, 0, 0, 0, 0
155,Sonkwaa Polyclinic,81480, 21.5, 0.33131, 0, 0, 0, 0, 0, 0, 0, 0, 0.671046
156,Anhwiam CHPS,52358, 8.7, 0, 0, 0, 0, 0, 0.00330056, 0.487807, 0.337369, 0, 0.174093
157,Brakwa Health Centre,28833, 28.8, 0, 0, 0, 0, 0, 0, 0, 0.960483, 0.0179861, 0.0239803
158,Jamra CHPS,40270, 23.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00278
159,Jamra Polyclinic,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
160,Kuntanase CHPS,55844, 22.4, 0, 0, 0, 0, 0, 0, 0.97783, 0.0154785, 0.00309558, 0.00619099
161,Odoben Health Centre,29331, 10, 0.261755, 0, 0, 0, 0, 0, 0, 0.728773, 0.00589405, 0.00589394
162,Our Lady Of Grace Hospital,27353, 23.1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.00231
163,Assin Awisem Health Centre,10179, 19.8, 0, 0, 0, 0, 0, 0, 0.00953751, 0.00953751, 0.0286125, 0.95794
164,Assin Foso Health Centre,35819, 0.1, 1.00106, 0, 0, 0, 0, 0, 0, 0, 0, 0
165,St Francis Xavier Hospital,72791, 18.7, 0.516406, 0, 0, 0, 0, 0, 0, 0, 0, 0.484614
166,Assin Akonfudi Polyclinic,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
167,Assin Bereku Health Centre,55769, 26.1, 0.0226334, 0, 0, 0, 0, 0, 0, 0.963314, 0.0122465, 0.00353455
168,Assin Kushea Health Centre,0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
169,Assin Praso Presby Hospital,22446, 21.8, 0, 0, 0, 0, 0, 0, 0, 0.920213, 0.0735376, 0.0086503
170,Bediadua Health Centre,67206, 18.2, 0.186043, 0, 0, 0, 0, 0, 0, 0.25605, 0.0708912, 0.491278
171,Anyinabrim Health Centre,74983, 12.1, 0.0371229, 0, 0, 0, 0, 0, 0, 0.276537, 0.663764, 0.0243103
172,Jakai Health Centre,3630, 8.2, 0.976093, 0, 0, 0, 0, 0, 0, 0, 0, 0.0275795
173,Manso Health Centre,50698, 5.7, 0.494163, 0, 0, 0, 0, 0, 0, 0, 0.00340864, 0.504684
174,Nsuta Presby Clinic,25949, 0.1, 1.00159, 0, 0, 0, 0, 0, 0, 0, 0, 0
175,Nyankumasi Ahenkro Health Centre,25544, 4.7, 0.995699, 0, 0, 0, 0, 0, 0, 0, 0, 0.00676523
176,Ongwa Health Centre,57751, 20.9, 0, 0, 0, 0, 0, 0, 0.327969, 0.663193, 0.00504307, 0.00672386
